#Ellogon: Document File
# This is an Auto-generated File. Please DO NOT EDIT.
# Ellogon CDM version 1.0 - August 1999 - September 2002
#  This file is used by the "Ellogon" Text Engineering Platform,
#  and contains an "Ellogon" CDM Document specification...
#  File Encoding: utf-8
Encoding::utf-8
FileFormat::5
Translation::crlf
ExternalID::/home/petasis/stasinos/articles/1128.avgi.html.txt
ID::1128.avgi.html.txt
AnnotationMaxID::223
Attributes::22
Intellitech_NERC_QuickDomain {GDM_STRING {}}
Intellitech_NERC_Filter {GDM_STRING {}}
language_greek {GDM_STRING {}}
Intellitech_NERC_TagWithGrammar {GDM_STRING {}}
Gazetteer {GDM_STRING {}}
HTokenizer {GDM_STRING {}}
language {GDM_STRING hellenic}
newspaper {GDM_STRING www.avgi.gr}
Intellitech_NERC_Descriptors {GDM_STRING {}}
CRF_Tag {GDM_STRING {}}
Intellitech_NERC_FlattenOverlappingNEs {GDM_STRING {}}
domain {GDM_STRING banking}
Intellitech_NERC_Dissambiguator {GDM_STRING {}}
title {GDM_STRING {Ανοιχτή Πόλη: Καμία επιχείρηση τρομοκρατίας δεν μας φοβίζει}}
Intellitech_NERC_FilterWithContext {GDM_STRING {}}
TransformAnnotatedData {GDM_STRING {}}
quick_domain {GDM_STRING_SET {}}
{Document Handler} {GDM_STRING {Simple: Import Clean Text}}
HBrill {GDM_STRING {}}
date {GDM_STRING {14.05.2014    , 17:03}}
category {GDM_STRING Ελλαδα}
Intellitech_NERC_TagWithOpenData {GDM_STRING {}}

Annotations::223
0 token {{0 1}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING (}}}
1 token {{1 6}} {{type {GDM_STRING GFW}} {pos {GDM_STRING INP}}}
2 token {{7 17}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
3 token {{18 30}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
4 token {{31 34}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RP}}}
5 token {{35 38}} {{type {GDM_STRING GLW}} {pos {GDM_STRING PRP}}}
6 token {{39 46}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
7 token {{46 47}} {{type {GDM_STRING APOSTR}} {pos {GDM_STRING )}}}
8 token {{47 48}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
9 token {{49 54}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
10 token {{55 56}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
11 token {{57 65}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
12 token {{66 69}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
13 token {{70 78}} {{type {GDM_STRING GFW}} {pos {GDM_STRING JJF}}}
14 token {{79 84}} {{type {GDM_STRING GFW}} {pos {GDM_STRING NNPF}}}
15 token {{84 85}} {{type {GDM_STRING PUNC}} {pos {GDM_STRING ,}}}
16 token {{86 91}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
17 token {{92 106}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
18 token {{107 110}} {{type {GDM_STRING GLW}} {pos {GDM_STRING WP}}}
19 token {{111 118}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VBD}}}
20 token {{119 123}} {{type {GDM_STRING GLW}} {pos {GDM_STRING RB}}}
21 token {{124 126}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
22 token {{127 135}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNN}}}
23 token {{136 138}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
24 token {{139 143}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
25 token {{144 147}} {{type {GDM_STRING GLW}} {pos {GDM_STRING PP}}}
