#Ellogon: Document File
# This is an Auto-generated File. Please DO NOT EDIT.
# Ellogon CDM version 1.0 - August 1999 - September 2002
#  This file is used by the "Ellogon" Text Engineering Platform,
#  and contains an "Ellogon" CDM Document specification...
#  File Encoding: utf-8
Encoding::utf-8
FileFormat::5
Translation::crlf
ExternalID::/home/petasis/stasinos/articles/1187.avgi.html.txt
ID::1187.avgi.html.txt
AnnotationMaxID::828
Attributes::22
Intellitech_NERC_QuickDomain {GDM_STRING {}}
Intellitech_NERC_Filter {GDM_STRING {}}
language_greek {GDM_STRING {}}
Intellitech_NERC_TagWithGrammar {GDM_STRING {}}
Gazetteer {GDM_STRING {}}
HTokenizer {GDM_STRING {}}
language {GDM_STRING hellenic}
newspaper {GDM_STRING www.avgi.gr}
Intellitech_NERC_Descriptors {GDM_STRING {}}
CRF_Tag {GDM_STRING {}}
Intellitech_NERC_FlattenOverlappingNEs {GDM_STRING {}}
domain {GDM_STRING telecommunications}
Intellitech_NERC_Dissambiguator {GDM_STRING {}}
Intellitech_NERC_FilterWithContext {GDM_STRING {}}
title {GDM_STRING {Αντιμετωπίζουν το νέφος με συστάσεις για τα τζάκια}}
TransformAnnotatedData {GDM_STRING {}}
quick_domain {GDM_STRING_SET {}}
HBrill {GDM_STRING {}}
{Document Handler} {GDM_STRING {Simple: Import Clean Text}}
category {GDM_STRING Περιβαλλον}
date {GDM_STRING 25.12.2013}
Intellitech_NERC_TagWithOpenData {GDM_STRING {}}

Annotations::828
0 token {{0 2}} {{type {GDM_STRING GFW}} {pos {GDM_STRING IN}}}
1 token {{3 16}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
2 token {{17 20}} {{type {GDM_STRING GLW}} {pos {GDM_STRING CC}}}
3 token {{21 24}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
4 token {{25 28}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
5 token {{29 35}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
6 token {{36 44}} {{type {GDM_STRING GLW}} {pos {GDM_STRING JJSN}}}
7 token {{45 50}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSN}}}
8 token {{51 58}} {{type {GDM_STRING GLW}} {pos {GDM_STRING VB}}}
9 token {{59 60}} {{type {GDM_STRING GLW}} {pos {GDM_STRING DDT}}}
10 token {{61 70}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNF}}}
11 token {{71 76}} {{type {GDM_STRING GLW}} {pos {GDM_STRING IN}}}
12 token {{77 86}} {{type {GDM_STRING GLW}} {pos {GDM_STRING NNSM}}}
